prices,market_caps,total_volumes
"[1500076800000, 171.77744094493255]","[1500076800000, 16028622412.657797]","[1500076800000, 245487302.92215428]"
"[1500163200000, 156.46899162898947]","[1500163200000, 14603949935.719194]","[1500163200000, 594995539.910624]"
"[1500249600000, 188.3527773486568]","[1500249600000, 17584242919.82978]","[1500249600000, 527360935.2359769]"
"[1500336000000, 228.50328003667275]","[1500336000000, 21338075701.63201]","[1500336000000, 979531260.0237657]"
"[1500422400000, 199.59051553264698]","[1500422400000, 18643050491.147614]","[1500422400000, 769335320.255077]"
"[1500508800000, 223.4613483872583]","[1500508800000, 20878190202.346775]","[1500508800000, 731711069.5424181]"
"[1500595200000, 217.08647395834424]","[1500595200000, 20287767362.233944]","[1500595200000, 390393974.2217934]"
"[1500681600000, 231.14352894295098]","[1500681600000, 21607085358.114548]","[1500681600000, 229970082.7943966]"
"[1500768000000, 226.7185992848529]","[1500768000000, 21198900249.379704]","[1500768000000, 204467773.72653127]"
"[1500854400000, 224.91340709342114]","[1500854400000, 21035610498.530434]","[1500854400000, 144284203.8135455]"
"[1500940800000, 206.81050478775018]","[1500940800000, 19347591148.68737]","[1500940800000, 358021108.5784135]"
"[1501027200000, 200.3285558009793]","[1501027200000, 18746083965.650166]","[1501027200000, 291270680.5567596]"
"[1501113600000, 203.18932178158303]","[1501113600000, 19018740572.79166]","[1501113600000, 155763232.69062254]"
"[1501200000000, 192.58568390577597]","[1501200000000, 18030982561.483517]","[1501200000000, 312701503.6657654]"
"[1501286400000, 205.51111919711502]","[1501286400000, 19246182898.41244]","[1501286400000, 420378363.7250074]"
"[1501372800000, 197.19896347978235]","[1501372800000, 18472631835.069103]","[1501372800000, 278403491.47329795]"
"[1501459200000, 203.28719634179097]","[1501459200000, 19047827948.6107]","[1501459200000, 256040954.6827099]"
"[1501545600000, 227.08056705038587]","[1501545600000, 21282137210.92791]","[1501545600000, 794803694.1987914]"
"[1501632000000, 219.05792926762416]","[1501632000000, 20534872983.74952]","[1501632000000, 310747315.777984]"
"[1501718400000, 224.86795657659746]","[1501718400000, 21084238670.106236]","[1501718400000, 229219665.889338]"
"[1501804800000, 221.67495953018923]","[1501804800000, 20789568173.053577]","[1501804800000, 203505640.27122915]"
"[1501891200000, 253.15566612330053]","[1501891200000, 23747316372.895435]","[1501891200000, 615120367.3016751]"
"[1501977600000, 263.2220861638244]","[1501977600000, 24697194959.234104]","[1501977600000, 640103600.4602818]"
"[1502064000000, 268.49662903477497]","[1502064000000, 25197894463.869026]","[1502064000000, 435385633.8349678]"
"[1502150400000, 295.14709831672786]","[1502150400000, 27705377543.833405]","[1502150400000, 678573131.3986272]"
"[1502236800000, 297.0696048197405]","[1502236800000, 27892280499.832973]","[1502236800000, 1197172634.0328116]"
"[1502323200000, 296.7767240757822]","[1502323200000, 27871169339.54446]","[1502323200000, 448574816.64381045]"
"[1502409600000, 306.826433219032]","[1502409600000, 28821677184.531666]","[1502409600000, 411643039.51414186]"
"[1502496000000, 308.625531335255]","[1502496000000, 28997352513.86263]","[1502496000000, 485474525.24875605]"
"[1502582400000, 297.15980274719976]","[1502582400000, 27926704137.990173]","[1502582400000, 689079789.7596157]"
"[1502668800000, 296.3972895244633]","[1502668800000, 27861579961.952854]","[1502668800000, 384478726.7916482]"
"[1502755200000, 288.4507671723357]","[1502755200000, 27120920523.5159]","[1502755200000, 526951176.2194243]"
"[1502841600000, 300.0393294082391]","[1502841600000, 28217360455.396397]","[1502841600000, 640592816.9629201]"
"[1502928000000, 300.5703437604035]","[1502928000000, 28267299986.362434]","[1502928000000, 641280744.7518665]"
"[1503014400000, 296.114635373622]","[1503014400000, 27861556924.972927]","[1503014400000, 590470398.7743214]"
"[1503100800000, 296.6220895183796]","[1503100800000, 27916001533.15132]","[1503100800000, 553702157.2699106]"
"[1503187200000, 295.17157732771335]","[1503187200000, 27786029857.799793]","[1503187200000, 342822961.8711704]"
"[1503273600000, 322.2012201364436]","[1503273600000, 30337762878.381535]","[1503273600000, 1743909692.665895]"
"[1503360000000, 312.1744705574116]","[1503360000000, 29400686225.9616]","[1503360000000, 898344262.6106703]"
"[1503446400000, 316.7889202107443]","[1503446400000, 29842462532.356785]","[1503446400000, 466474643.49241275]"
"[1503532800000, 321.7852984049241]","[1503532800000, 30320399298.400482]","[1503532800000, 397752658.9354108]"
"[1503619200000, 329.0252809929819]","[1503619200000, 31008765515.118908]","[1503619200000, 451950699.05019414]"
"[1503705600000, 329.86578262442157]","[1503705600000, 31031409011.107296]","[1503705600000, 333839327.838868]"
"[1503792000000, 343.34133712814116]","[1503792000000, 32370755160.220387]","[1503792000000, 370052131.98739076]"
"[1503878400000, 344.2011314209417]","[1503878400000, 32458167725.598194]","[1503878400000, 519874393.4238931]"
"[1503964800000, 366.809589912788]","[1503964800000, 34597128016.55826]","[1503964800000, 767166476.1357825]"
"[1504051200000, 378.90633073469184]","[1504051200000, 35745271112.44432]","[1504051200000, 852991842.1703743]"
"[1504137600000, 382.9344507545728]","[1504137600000, 36132449087.43318]","[1504137600000, 414360266.00919527]"
"[1504224000000, 386.3430570009356]","[1504224000000, 36461379831.851746]","[1504224000000, 505643412.793286]"
"[1504310400000, 346.3987754868897]","[1504310400000, 32698140251.89353]","[1504310400000, 958653961.776176]"
"[1504396800000, 349.92924044114534]","[1504396800000, 33037915918.358833]","[1504396800000, 671189521.5578377]"
"[1504483200000, 299.7173318855491]","[1504483200000, 28302865423.90704]","[1504483200000, 1278523027.0732577]"
"[1504569600000, 318.9728041158723]","[1504569600000, 30127332537.80147]","[1504569600000, 1099567125.3565156]"
"[1504656000000, 333.20632999273016]","[1504656000000, 31478005326.47652]","[1504656000000, 672471698.8217244]"
"[1504742400000, 329.4156625176296]","[1504742400000, 31126200677.32708]","[1504742400000, 431394249.7466129]"
"[1504828800000, 304.47510826802426]","[1504828800000, 28775477244.445538]","[1504828800000, 660392679.7301207]"
"[1504915200000, 299.6944444705654]","[1504915200000, 28329354911.608036]","[1504915200000, 315515992.3564483]"
"[1505001600000, 292.7796567856866]","[1505001600000, 27681278352.42371]","[1505001600000, 456818455.0948669]"
"[1505088000000, 296.4753988432914]","[1505088000000, 28036287702.51409]","[1505088000000, 363007787.84414524]"
"[1505174400000, 290.58653195906925]","[1505174400000, 27485022514.19706]","[1505174400000, 583871859.8283461]"
"[1505260800000, 277.33365793127047]","[1505260800000, 26236732489.431683]","[1505260800000, 721738885.8360373]"
"[1505347200000, 214.3117136334975]","[1505347200000, 20278768201.760014]","[1505347200000, 929861557.1062983]"
"[1505433600000, 246.9218572871298]","[1505433600000, 23369190516.539547]","[1505433600000, 1617179859.467345]"
"[1505520000000, 244.80561175288247]","[1505520000000, 23173710726.76121]","[1505520000000, 586258300.894896]"
"[1505606400000, 249.66654597502836]","[1505606400000, 23638636295.481937]","[1505606400000, 336444511.1569665]"
"[1505692800000, 287.96109568877347]","[1505692800000, 27269907986.777264]","[1505692800000, 935880977.9429078]"
"[1505779200000, 280.4456323420793]","[1505779200000, 26563613422.607845]","[1505779200000, 518505103.8522604]"
"[1505865600000, 279.4176492108516]","[1505865600000, 26471592194.703312]","[1505865600000, 322301352.00916153]"
"[1505952000000, 257.465074465559]","[1505952000000, 24396830727.284477]","[1505952000000, 470196974.05520844]"
"[1506038400000, 263.46977368373445]","[1506038400000, 24969981050.950962]","[1506038400000, 343728639.336796]"
"[1506124800000, 283.22215899335055]","[1506124800000, 26846246384.287216]","[1506124800000, 365565238.54476005]"
"[1506211200000, 280.68104473460187]","[1506211200000, 26609714675.1668]","[1506211200000, 473679365.7914858]"
"[1506297600000, 288.0857009417575]","[1506297600000, 27316005855.910435]","[1506297600000, 367147869.49683565]"
"[1506384000000, 283.9294530726591]","[1506384000000, 26926232192.184574]","[1506384000000, 240690671.2951268]"
"[1506470400000, 302.1518453516756]","[1506470400000, 28658972908.46477]","[1506470400000, 394839374.31574607]"
"[1506556800000, 294.3138380117381]","[1506556800000, 27919976584.315685]","[1506556800000, 344032408.65444744]"
"[1506643200000, 288.11459689868053]","[1506643200000, 27336170625.13594]","[1506643200000, 401420308.2527799]"
"[1506729600000, 297.2689355700251]","[1506729600000, 28209139740.688995]","[1506729600000, 234494285.9120729]"
"[1506816000000, 299.6748890236153]","[1506816000000, 28442001971.008823]","[1506816000000, 208656622.10220405]"
"[1506902400000, 295.8400297394862]","[1506902400000, 28082506249.729813]","[1506902400000, 228753338.77109602]"
"[1506988800000, 292.2107206992577]","[1506988800000, 27742435562.94357]","[1506988800000, 213674545.194013]"
"[1507075200000, 293.0357027858311]","[1507075200000, 27825239443.20582]","[1507075200000, 167895948.31847614]"
"[1507161600000, 293.71934612048636]","[1507161600000, 27894664349.155266]","[1507161600000, 166289551.89366713]"
